5, "Делюсь радостью, год назад потерял такую флешку, нашел в стиральной машине (она целый год стиралась) вчера нашел ее в ней и... полностью рабочая и даже все фотки с документами открываються!!!! Чудо!"
5, "Пока не выявил недостатков."
5, "ок."
5, "Просто хороша флешка за розумні гроші. Неодноразово падала і все добре, все супер. Довгий період нарікань нема. Однозначно рекомендую"
4, "Брал таких флешек уже несколько штук, корпус не убиваем, так же удобно что есть кольцо, можно вешать на брелок Сама флешка компактная но и не слишком маленькая, нормально вставлять в порт и вытягивать. Гарантия на 5 лет на память это плюс. С недостатков могу заметить что это флешка еще по стандарту USB 2.0, а также имеет низкую скорость на запись, у меня была в районе 8мб/с Рекомендую если нужна недорогая флешка с корпусом который не поломается #мояраспаковка"
5, "Делюсь радостью, год назад потерял такую флешку, нашел в стиральной машине (она целый год стиралась) вчера нашел ее в ней и... полностью рабочая и даже все фотки с документами открываються!!!! Чудо!"
5, "Пока не выявил недостатков."
5, "ок."
5, "Просто хороша флешка за розумні гроші. Неодноразово падала і все добре, все супер. Довгий період нарікань нема. Однозначно рекомендую"
4, "Брал таких флешек уже несколько штук, корпус не убиваем, так же удобно что есть кольцо, можно вешать на брелок Сама флешка компактная но и не слишком маленькая, нормально вставлять в порт и вытягивать. Гарантия на 5 лет на память это плюс. С недостатков могу заметить что это флешка еще по стандарту USB 2.0, а также имеет низкую скорость на запись, у меня была в районе 8мб/с Рекомендую если нужна недорогая флешка с корпусом который не поломается #мояраспаковка"
3, "Флешка хорошая корпус бомба попробуй убить, но скорость флешки дика мала 7.51 мб/с, это на всех файловых системах ну на NTFS около 8 мб/с все равно мало!"
5, "Активно пользуюсь больше года. качеством довольна."
5, "Симпатичный и лаконичный дизайн. Идеально подходит для офисного использования. Нормальная скорость записи и чтения. Хороший вариант для ежедневного ношения со связкой ключей."
4, "Працює ще малий час"
4, "У меня та-же серия, только на 8 гб, 4 штуки. Носил в кошельке, в сумке с инструментами (во внутреннем кармане), в шухлядках, в карманах, на столе - хоть бы что. Если надо что-то таскать с собой (например загрузочный диск Acronis или драйвера) - самое оно. Если для активной работы с информацией внутри - на запись ооочень медленная (на чтение более-менее)."
5, "Фирма отреагировала очень хорошо, отправил - проверили - позвонили сказали результат - поменяли ! Я доволен сервисом.!!"
3, "нема захисного ковпачка"
