5, "Рекомендую к покупке! USB 3.0 запись 47 - 7 Mb/s чтение 80 - 65 Mb/s Использую как рабочую (установучную) потому порадовал оптимальный средний размер) Приятное матовое покрытие. Странно что неподвижный блок люфтит, а слайдер плотно ходит.. может задумка производителя??!)))))) Довольно таки прочная и уранив её не разбить!!"
5, "Подойдет ли эта флешка для установки windows 7 ?"
5, "Работает безотказно! Прекрасная флешка по приятной цене."
5, "в 2 раза быстрей Transcend 3.1"
5, "для вінди +"
4, "Хорошая флешка, рекомендую"
1, "Розпакував з коробки, підключив до компа і спробував записати 1 файл. Не скопіювало і третини, процес припинився, флешка зникла. Перегрузив комп - фешку не бачить. Ні комп, ні ноут. Не пропрацювала навіть однієї хвилини. Куди звертатись за гарантійним обміном?"
4, "Взял на пробу. Пока все устраивает. Быстрее работает при файловой системе exfat."
5, "Рекомендую к покупке! USB 3.0 запись 47 - 7 Mb/s чтение 80 - 65 Mb/s Использую как рабочую (установучную) потому порадовал оптимальный средний размер) Приятное матовое покрытие. Странно что неподвижный блок люфтит, а слайдер плотно ходит.. может задумка производителя??!)))))) Довольно таки прочная и уранив её не разбить!!"
5, "Подойдет ли эта флешка для установки windows 7 ?"
5, "Работает безотказно! Прекрасная флешка по приятной цене."
5, "в 2 раза быстрей Transcend 3.1"
5, "для вінди +"
4, "Хорошая флешка, рекомендую"
1, "Розпакував з коробки, підключив до компа і спробував записати 1 файл. Не скопіювало і третини, процес припинився, флешка зникла. Перегрузив комп - фешку не бачить. Ні комп, ні ноут. Не пропрацювала навіть однієї хвилини. Куди звертатись за гарантійним обміном?"
4, "Взял на пробу. Пока все устраивает. Быстрее работает при файловой системе exfat."
5, "Чудова флешка, всім рекомендую"
5, "Отличный продукт."
5, "Настоящий обьем - 14,3 Гб (может кому пригодиться). Флешка хорошая -> можно смело покупать. Тем более 5 лет гарантии."
5, "Нормальна флеха. Вінда 10 з неї ставиться. Швидкість відповідає ціні."
5, "Чудова флешка, всім рекомендую"
4, "Качественный пластиковый корпус, не сильное падение ей не страшно. В повседневном использовании - отличный вариант."
5, "купила, чтобы совместить Live USB с разделом для хранения данных, пока что свою функцию выполняет отлично."
5, "Быстрая и удобная, отсутствие колпачка"
5, "Очень быстрая в работе слегка греется но оно того стоит покупайте не бойтесь не подведёт"
5, "Отличная флешка, приятная цена."
5, "Скорость записи крупных файлов, по 1Гб, составила 8 Мб/с"
5, "Купив, бо була необхідна для інсталяції ОС, і збергання-обміну файлами. Повністю задовольнила вимоги."
5, "Гарний пристрій."
5, "Быстрая флешка. В три раза быстрее моей что брал в 2008 году. На старую записывало 4мб/сек. А тут 12.2 скорость. Но греется просто жесть как."
1, "После 3 месяцев использования начала самопроизвольно отключаться"
5, "Вот заказал и доволен покупкой. Надежный производитель. советую всем)"
5, "Купил еще такую же, так как потерял старую. Думал купить др. производителя, но понял, что это лучшая за эти деньги. Берите, не пожалеете."
5, "Взяв на заміну загубленої. Основний критерій вибору - надійність, перевірений виробник і не крихітні розміри. Загублена флешка була занадто маленькою, через що постійно не знав де вона і як результат загубив."
5, "Нормальный девайс, лучше многих, пользую третий год без нареканий, хотя хотелось бы немного быстрее))) но как говорится какая рыбка - такая юшка."
5, "Флешкою дуже задоволена,працює відмінно!"
5, "отличная флешка"
5, "Очень хорошая флешка: стильная и удобная, приятно посмотреть и использовать, работает пока что без сбоев, скорость хорошая, колпачок не снимется (не потеряется) и сидит довольно туго (лично у меня ни разу не открывалась самостоятельно в кармане или сумке). Недостатков пока не заметила, если будут, то напишу ещё комментарий."
5, "Хорошая"
4, "К работе флешки претензий нет, свою работу делает, 8 месяцев с момента покупки. Колпачок, однако, вызывает нарекания. С одной стороны дико удобно, что он - часть флешки и никуда не денется. С другой же стороны, в кармане или рюкзаке, колпачок может открыться сам по себе, и флешка может пострадать(("
3, "Нормальная флешка за свою оправданную цену!"
4, "Хорошая флешка. Ждать от нее супер скоростей не стоит. Но работает стабильно."
4, "Сильного прироста по сравнению с USB 2.0 не ощутил (на ноуте и на смарт ТВ присутсвует данный разъем)"
5, "Зручна, надійна в користуванні, повністю себе виправдовує."
5, "Неплохо, скорость чтение 100-110 запись 10-15 MB/s"
5, "Флешкою користувався 3 роки поки вона загадковим чином не перестала працювати. В чому поломка - не відомо, ремонтувати навіть не намагався. Низька ціна, достатня швидкість передачі. Корпус перестає коректно функціонувати після місяця користування. Купую другий раз таку ж саму :)"
5, "супер"
5, "Нужна была флешка для установки Windows в тот момент апгрейднулся до Windows 10 а в это время на флешке стоял дистрибутив Windows 10 и в неожиданий момент вылетала винда и флешка спасала мою жизнь быстрой установкою Windows (30 мин) ИТОГИ: Рекомендую! Благодарю Kingston за чудо флешку!"
5, "Флешка класна рекомендую"
5, "Работает, а больше ничего и не нужно"
5, "Для автомобиля самое ТО!!!"
5, "Отличная флешка за свою цену. Довольно крепкая, уже падала несколько раз, сбоев в работе не было. Под Ubuntu 16.10(LiveUSB) все быстро работает. Сразу из коробки очень медленно работала(FAT32, первый скриншот), зато на exFAT(второй скриншот) летает. Ссылки на бенчмарки: Под exFAT: http://usbflashspeed.com/205950 Под FAT32: http://usbflashspeed.com/205946"
4, "Флешка как флешка. Скорость записи ~ 12 Мбайт/сек."
5, "Вариант выбора для повседневной работы."
2, "Флешка погана не з першого разу щитується на компютері, треба багато разів запихати і витягувати з компютера, думаю це якийсь брак.Піду но пошту здам на гарантію."
4, "Спасибо."
5, "Шустрая, удобная, дешевая короче отличная флешка. Советую"
5, "все супер"
3, "товар не відповідає опису.. швидкість набагато ничжа ніж в характеристиках"
1, "Покупал здесь Всё как бы хорошо, только флешка дико тормознутая!"
5, "нормальна флешка,добре працюе"
4, "Завантаження файлів на флешку (13мб/с) повільне, загалом як в інших флешек. Завантаження файлі з флешки (80мб/с) дуже швидке. На фото в тесті чомусь показала інші дані."
4, "Обычная легкая пластмассовая флешка без всяких прочих наворотов ."
5, "Подключал к ноуту с usb 3.0. Корпус довольно прочный, защелкивается хорошо."
5, "Інтернет-магазин Rozetka.ua. додає гарантійний талон товару на 60місяців, це аж на 5років! прикинь...."
5, "Переваги: зовнішній вигляд, швидкість читання \ запису-задовільняє, флешка компактна і зручна. хороша та доступна ціна за такий товар #мояраспаковка"
5, "Флешкой пользуюсь уже месяца три. Нареканий ни на скорость, ни на качество сборки нет. Флешка работает исправно, колпачок нормально закрывается, и сам по себе не открывается, все в норме. Результаты тестирования скорости в CrystalDiskMark 5.2.0 x64 USB 3.0"
5, "Заказ прийшов швидко, флешкою задоволений, напис 16 gb переливається. Сподіваюсь на тривалу роботу."
5, "Дизайн действительно очень хорош. Флешка удобная, быстрая. Не хлипкая."
4, "Хорошая флешка"
4, "Отлично работает сбоев нету"
5, "Пользуюсь 2 года. Довольно удобна в использовании. За время пользования никаких нареканий нет. Доставили оперативно."
5, "Всегда использую данную флешку когда меняю виндовс; смотрю с нее фильмы в Фул ХД. Скорость чтения замечательная. Немного греется, но не сильно. Рекомендую."
5, "хорошая добротная флешка"
1, "мав таку саму на 32 гіга. після того, як довелось її втикнути в доісторичне відро на віндоус xp, коротнула і вмерла. тепер це просто затичка для usb порту яка при тому і гріється. беріть щось дорожче, менше, і надійніше. не рекомендую."
5, "Недостаток нет."
5, "брал для прослушивания музыки в машине, идеально подходит, запись на флешку через юсб 3 проходит очень быстро."
4, "Рік користування. Збою не давала."
5, "Это самая быстрая флешка которая у меня когда либо была.... почти 100мб/с чтение. Рекомендую!"
5, "Повністю задоволений"
5, "Usb-флеха, саме те що треба, дякую розетці за те зо радує доступними цінами та хорошим сервісом)"
5, "Из все Кингстонов, эти мне нравятся больше всего."
5, "В целом флешка хорошая, скорость отличная(очень быстро записывает), никаких проблем в работе нет) Всегда доверял этой фирме и не подводит)"
5, "все гуд, объем, скорость чтения/записи. IRecommend =)"
5, "Кингстон всегда оправдывал свою марку. Сколько бралось флешек, все работает без нареканий. Оперативка уже 4 года отпахала и тоже без проблем."
5, "Отличная флешка , рекомендую."
5, "Користуюсь такою 3 роки, жодних дорікать. Просто ідеальна флешка!"
5, "Швидка. Легка. Повністю задоволений товаром."
4, "Хорошая флешка за свои деньги."
5, "Отличная, быстрая флешка. У меня такая была на 8 Гб, вот теперь заказали брату такую же, но на 16."
5, "Хорошая флешка за свои деньги."
5, "Отличная флешка за свои деньги."
